-4.70073,1.09526
-4.69133,1.09494
-4.68193,1.09494
-4.67253,1.09335
-4.66312,1.0865
-4.65372,1.08653
-4.64432,1.07544
-4.63492,1.07561
-4.62552,1.07788
-4.61612,1.07788
-4.60672,1.07788
-4.59731,1.07788
-4.58791,1.08392
-4.57851,1.0874
-4.56911,1.08337
-4.55971,1.08071
-4.55031,1.08157
-4.54091,1.08125
-4.5315,1.07796
-4.5221,1.07748
-4.5127,1.07746
-4.5033,1.07643
-4.4939,1.07493
-4.4845,1.07451
-4.47509,1.07897
-4.46569,1.07657
-4.45629,1.07693
-4.44689,1.07369
-4.43749,1.0693
-4.42809,1.07119
-4.41869,1.06946
-4.40928,1.07265
-4.39988,1.0728
-4.39048,1.06872
-4.38108,1.07063
-4.37168,1.07121
-4.36228,1.07121
-4.35288,1.06651
-4.34347,1.05954
-4.33407,1.05783
-4.32467,1.06162
-4.31527,1.06362
-4.30587,1.064
-4.29647,1.06201
-4.28707,1.05782
-4.27766,1.05334
-4.26826,1.0552
-4.25886,1.05268
-4.24946,1.0553
-4.24006,1.0565
-4.23066,1.0548
-4.22126,1.04812
-4.21185,1.04838
-4.20245,1.0466
-4.19305,1.04256
-4.18365,1.0423
-4.17425,1.03813
-4.16485,1.03104
-4.15545,1.00955
-4.14604,0.99983
-4.13664,0.9918
-4.12724,0.99071
-4.11784,0.99668
-4.10844,1.0054
-4.09904,1.01504
-4.08964,1.02169
-4.08023,1.02685
-4.07083,1.02623
-4.06143,1.0225
-4.05203,1.02638
-4.04263,1.03107
-4.03323,1.03281
-4.02382,1.0304
-4.01442,1.02953
-4.00502,1.02684
-3.99562,1.02556
-3.98622,1.02185
-3.97682,1.02596
-3.96742,1.02679
-3.95801,1.02475
-3.94861,1.02417
-3.93921,1.02636
-3.92981,1.02918
-3.92041,1.03147
-3.91101,1.03188
-3.90161,1.02818
-3.8922,1.02388
-3.8828,1.02905
-3.8734,1.02926
-3.864,1.03481
-3.8546,1.03412
-3.8452,1.03367
-3.8358,1.02984
-3.82639,1.02268
-3.81699,1.01781
-3.80759,1.01679
-3.79819,1.02071
