,V,G/GN
0,-4.691330000000001,1.0
1,-4.68193,1.0000486995239455
2,-4.67253,1.0000976695698114
3,-4.663119999999999,1.0012109244662009
4,-4.65372,1.000196481805412
5,-4.64432,1.0002462753859194
6,-4.63492,1.0002963473287767
7,-4.62552,1.0003466996373476
8,-4.61612,1.0003973343288004
9,-4.60672,1.0004482534391455
10,-4.59731,1.0015638475181252
11,-4.58791,1.000551008085898
12,-4.57851,1.0006027931556896
13,-4.56911,1.0006548709656367
14,-4.55971,1.0007072436411997
15,-4.55031,1.000759913324443
16,-4.54091,1.0008128821755258
17,-4.5315,1.0019309320731993
18,-4.5221,1.0009197832752559
19,-4.5127,1.000973663109236
20,-4.5033,1.0010278509437462
21,-4.4939,1.0010823490344598
22,-4.4845,1.0011371596555183
23,-4.47509,1.0022574127421922
24,-4.46569,1.0012477868357592
25,-4.45629,1.001303549231645
26,-4.44689,1.0013596334559163
27,-4.43749,1.0014160418818658
28,-4.42809,1.0014727769043335
29,-4.41869,1.0015298409378397
30,-4.40928,1.0026527854356342
31,-4.3998800000000005,1.0016450273965392
32,-4.39048,1.0017030935234608
33,-4.38108,1.0017614985343164
34,-4.3716800000000005,1.0018202449508928
35,-4.36228,1.001879335315871
36,-4.35288,1.0019387721941313
37,-4.34347,1.0030645460451542
38,-4.33407,1.002058760025927
39,-4.324669999999999,1.0021192524345657
40,-4.31527,1.0021801018429455
41,-4.30587,1.0022413109280632
42,-4.296469999999999,1.002302882391914
43,-4.28707,1.002364818957852
44,-4.27766,1.0034935685154847
45,-4.26826,1.0024898652869942
46,-4.258859999999999,1.0025529141426415
47,-4.24946,1.0026163392387357
48,-4.24006,1.0026801434206352
49,-4.230659999999999,1.0027443295563645
50,-4.22126,1.0028089005404381
51,-4.21185,1.0039407811041752
52,-4.20245,1.0029392784844144
53,-4.19305,1.003005022049392
54,-4.18365,1.0030711622940143
55,-4.17425,1.003137702239557
56,-4.16485,1.0032046449348118
57,-4.15545,1.0032719934528218
58,-4.14604,1.0044071698335189
59,-4.13664,1.003407993127864
60,-4.1272400000000005,1.0034765782690327
61,-4.11784,1.0035455818014107
62,-4.10844,1.0036150069324508
63,-4.0990400000000005,1.0036848569007593
64,-4.08964,1.0037551349710605
65,-4.08023,1.0048937820755823
66,-4.07083,1.0038970645344014
67,-4.0614300000000005,1.0039686472491407
68,-4.05203,1.0040406714131738
69,-4.04263,1.0041131404338421
70,-4.0332300000000005,1.0041860577481487
71,-4.02382,1.0053278271457564
72,-4.014419999999999,1.004333329938482
73,-4.00502,1.0044076135466007
74,-3.9956199999999997,1.0044823594997934
75,-3.98622,1.0045575713852357
76,-3.9768199999999996,1.0046332528219106
77,-3.9674199999999997,1.0047094074571563
78,-3.95801,1.0058550012659428
79,-3.94861,1.0048632333699095
80,-3.9392099999999997,1.0049408303270795
