,V,G/GN
0,-5.98,1.0
1,-5.96,1.000095794138718
2,-5.94,1.0001925953484412
3,-5.92,1.0002904179414396
4,-5.9,1.0003892764874776
5,-5.88,1.0004891858201872
6,-5.86,1.0005901610418924
7,-5.84,1.0006922175310862
8,-5.82,1.0007953709459447
9,-5.8,1.0008996372342862
10,-5.78,1.0010050326359126
11,-5.76,1.0011115736928793
12,-5.74,1.0012192772534212
13,-5.72,1.0013281604801898
14,-5.7,1.0014382408582114
15,-5.68,1.001549536200538
16,-5.66,1.0016620646562764
17,-5.64,1.001775844719684
18,-5.62,1.001890895235579
19,-5.6,1.0020072354101595
20,-5.58,1.0021248848174464
21,-5.56,1.002243863409277
22,-5.54,1.0023641915224706
23,-5.52,1.0024858898902
24,-5.5,1.0026089796491582
25,-5.48,1.002733482350826
26,-5.46,1.0028594199699474
27,-5.44,1.0029868149159702
28,-5.42,1.0031156900431069
29,-5.4,1.0032460686605333
30,-5.38,1.0033779745438294
31,-5.36,1.0035114319470717
32,-5.34,1.0036464656131034
33,-5.32,1.0037831007869706
34,-5.3,1.0039213632273976
35,-5.28,1.004061279219914
36,-5.26,1.0042028755905
37,-5.24,1.00434617971799
38,-5.22,1.0044912195492353
39,-5.2,1.0046380236122636
40,-5.18,1.004786621032304
41,-5.16,1.0049370415460503
42,-5.14,1.0050893155180292
43,-5.12,1.0052434739558969
44,-5.1,1.0053995485286347
45,-5.08,1.0055575715821212
46,-5.06,1.0057175761576715
47,-5.04,1.0058795960101603
48,-5.02,1.0060436656273175
49,-5.0,1.006209820248129
50,-4.98,1.0063780958835442
51,-4.96,1.0065485293378047
52,-4.94,1.0067211582283255
53,-4.92,1.006896021008506
54,-4.9,1.0070731569909186
55,-4.88,1.0072526063700158
56,-4.86,1.0074344102467658
57,-4.84,1.0076186106530496
58,-4.82,1.0078052505786728
59,-4.8,1.007994373997209
60,-4.78,1.008186025893703
61,-4.76,1.008380252293028
62,-4.74,1.0085771002900357
63,-4.72,1.0087766180792914
64,-4.7,1.0089788549870844
65,-4.68,1.009183861503439
66,-4.66,1.0093916893162942
67,-4.64,1.0096023913458225
68,-4.62,1.009816021782057
69,-4.6,1.0100326361190035
70,-4.58,1.0102522911970553
71,-4.56,1.0104750452405176
72,-4.54,1.0107009578992299
73,-4.52,1.0109300902923612
74,-4.5,1.0111625050522386
75,-4.48,1.0113982663708279
76,-4.46,1.0116374400465613
77,-4.44,1.0118800935343681
78,-4.42,1.0121262959974278
79,-4.4,1.0123761183589244
80,-4.38,1.0126296333588645
81,-4.36,1.0128869156095184
82,-4.34,1.0131480416565806
83,-4.32,1.0134130900390197
84,-4.3,1.0136821413543404
85,-4.28,1.0139552783240844
86,-4.26,1.0142325858631915
87,-4.24,1.0145141511517728
88,-4.22,1.0148000637091232
89,-4.2,1.0150904154712137
90,-4.18,1.0153853008712859
91,-4.16,1.0156848169228572
92,-4.14,1.0159890633077227
93,-4.12,1.0162981424651636
94,-4.1,1.0166121596870468
95,-4.08,1.0169312232152676
96,-4.06,1.0172554443436732
97,-4.04,1.0175849375250143
98,-4.02,1.01791982048038
99,-4.0,1.0182602143157293
100,-3.98,1.0186062436409038
101,-3.96,1.0189580366959456
102,-3.94,1.0193157254801368
103,-3.92,1.0196794458903424
104,-3.9,1.0200493378610418
105,-3.88,1.0204255455136968
106,-3.86,1.020808217311394
107,-3.84,1.021197506221099
108,-3.82,1.0215935698801513
109,-3.8,1.0219965707762306
110,-3.78,1.0224066764282869
111,-3.76,1.0228240595809113
112,-3.74,1.0232488984062498
113,-3.72,1.0236813767130515
114,-3.7,1.0241216841682586
115,-3.68,1.0245700165272442
116,-3.66,1.0250265758757329
117,-3.64,1.025491570881607
118,-3.62,1.0259652170604296
119,-3.6,1.0264477370522684
120,-3.58,1.0269393609130248
121,-3.56,1.0274403264176515
122,-3.54,1.0279508793803227
123,-3.52,1.028471273989041
124,-3.5,1.0290017731558359
125,-3.48,1.0295426488864656
126,-3.46,1.0300941826646757
127,-3.44,1.0306566658594576
128,-3.42,1.0312304001485542
129,-3.4,1.0318156979670832
